estimate,lower,upper,des_effect,se,n,age,var,survey_id,kp,survey_id2,sex,iso3,year,totpop,genpop_estimate,ageratio
0.0399722805257769,0.00940060101283523,0.0705439600387185,2.86574900046173,0.0155980822882906,25,32,age1,SWZ2020BBS,FSW,SWZ2020BBS_FSW,female,SWZ,2020,8489.03027,0.015124153349988137,2.6429433503336073
0.0371440088081438,0.00931484471649553,0.0649731728997921,2.54795917510243,0.0141988140145233,22,33,age1,SWZ2020BBS,FSW,SWZ2020BBS_FSW,female,SWZ,2020,8684.32031,0.015472084317218074,2.4007113745371833
0.0295946844599209,0.00775620208021419,0.0514331668396276,1.95398075280353,0.0111422875889383,19,34,age1,SWZ2020BBS,FSW,SWZ2020BBS_FSW,female,SWZ,2020,8931.15527,0.015911848303025864,1.8599149449088859
0.0337500827469842,0.0222086509604999,0.0452915145334684,0.480614998076622,0.00588859380964221,19,35,age1,SWZ2020BBS,FSW,SWZ2020BBS_FSW,female,SWZ,2020,9120.63672,0.016249430619925547,2.077000944611488
0.039677363510348,0.0163996867186161,0.0629550403020798,1.67325275164427,0.0118765839450843,14,36,age1,SWZ2020BBS,FSW,SWZ2020BBS_FSW,female,SWZ,2020,9134.84375,0.016274742026945406,2.4379718858004544
0.0256846536217606,-0.00167817253204596,0.0530474797755672,3.52039097360468,0.013960882123162,12,37,age1,SWZ2020BBS,FSW,SWZ2020BBS_FSW,female,SWZ,2020,8884.63867,0.015828973796828582,1.6226354248502612
0.0285063479633061,0.0033554978647275,0.0536571980618848,2.6876087177187,0.0128323021733896,12,38,age1,SWZ2020BBS,FSW,SWZ2020BBS_FSW,female,SWZ,2020,8452.56152,0.015059180208187526,1.8929548334780855
0.00700359005798994,-0.00530506128066266,0.0193122413966425,2.5632726077225,0.00628003954957421,5,39,age1,SWZ2020BBS,FSW,SWZ2020BBS_FSW,female,SWZ,2020,7959.62207,0.014180953650272473,0.49387299547766117
0.0149043342143174,0.00567485594299142,0.0241338124856434,0.682661746190932,0.00470900401442422,7,40,age1,SWZ2020BBS,FSW,SWZ2020BBS_FSW,female,SWZ,2020,7458.50293,0.013288154063167905,1.1216256331366012
0.0112661056127642,0.00723976096781939,0.015292450257709,0.171242242161569,0.00205429522006737,7,41,age1,SWZ2020BBS,FSW,SWZ2020BBS_FSW,female,SWZ,2020,6978.3667,0.012432737868332593,0.9061644934588448
0.0170128530629449,0.00314886678906496,0.0308768393368248,1.35236369042695,0.00707359236355222,9,42,age1,SWZ2020BBS,FSW,SWZ2020BBS_FSW,female,SWZ,2020,6510.2832,0.01159879495501569,1.4667776375844974
